id,name,category,phase,fixed,default_on,evidence_score,evidence_label,evidence_caution,mechanism,interactions,access_pathway,source_links,discuss_with_care_team
"gtr-resection","Gross-total resection (completed)","historical","pre-treatment","true","true","5","Standard neurosurgical care; gross-total resection is associated with longer survival than subtotal resection.","false","Maximal safe removal of the tumor reduces disease burden and improves how well residual disease responds to chemoradiation.","","","","Already completed - shown for timeline context only, not a live decision."
"sc-chemort","Concurrent chemoradiation - temozolomide + radiotherapy (Stupp protocol)","standard-of-care","concurrent-chemort","true","true","5","Positive randomised phase 3 trial (Stupp protocol) - the backbone of glioblastoma standard of care.","false","Daily radiotherapy DNA-damages tumor cells; concurrent low-dose temozolomide radiosensitizes and adds independent cytotoxicity.","oral-vitamin-c:conflicts:-6 | curcumin:timing-caution:-3 | egcg-green-tea:timing-caution:-3 | resveratrol:timing-caution:-3 | iv-vitamin-c:synergistic:4","","","Fixed standard of care set by the treating radiation and neuro-oncology teams - not a toggle."
"sc-adjuvant-tmz","Adjuvant temozolomide (maintenance cycles)","standard-of-care","adjuvant-tmz","true","true","5","Positive randomised phase 3 trial - same Stupp protocol backbone.","false","Monthly pulsed alkylating chemotherapy continues to target residual/microscopic tumor cells after the concurrent phase ends.","","","","Fixed standard of care - not a toggle."
"duke-immunotherapy-trial","Duke University immunotherapy trial (Dr. Henry Friedman) - protocol TBD","immunotherapy-trial","post-adjuvant","false","true",,"Depends on the specific protocol/arm assigned - not yet confirmed.","false","Institutional immunotherapy program at Duke; the specific agent/mechanism is not yet known from the information available here.","steroid-sparing:synergistic:5 | cegat-vaccine:note-only:1","Already admitted to this program per the treating team - update the estimate below once the exact protocol and start date are confirmed.","","Confirm the exact protocol name, NCT ID (if applicable), and start date with the Duke team."
"cegat-vaccine","CeGaT GmbH / cecava GmbH personalized neoantigen vaccine (supportive)","personalized-vaccine","post-adjuvant","false","true","2","Real-world case series (173 GBM patients, Nature Communications 2024) via Germany's individueller Heilversuch pathway - not a randomised trial.","false","Tumor-exome sequencing + HLA typing predicts patient-specific neoantigens; cecava manufactures and administers a personalized synthetic-peptide vaccine against them.","steroid-sparing:synergistic:2","","https://www.nature.com/articles/s41467-024-51315-8 ; https://clinicaltrials.gov/study/NCT05356312","Already discussed with Dr. Friedman as supportive treatment; full provider/cost/logistics detail lives on the companion Neoantigen & Personalized Peptide Vaccine Atlas - cross-referenced, not repeated here."
"vitamin-d-correction","Correct vitamin D to a normal serum level","immune-nk-support","anytime","false","true","2","Observational: GBM patients with pre-treatment 25-OH-D above 30 ng/mL had substantially longer survival than deficient patients; a small phase 2 trial of a vitamin D analog reported tumor regression in some patients.","false","Vitamin D has documented anti-proliferative and immune-modulating activity in glioblastoma cell and animal models; deficiency is common and easily correctable.","","","https://www.redjournal.org/article/S0360-3016(17)31520-1/fulltext ; https://www.nature.com/articles/s41374-021-00673-8","Ask for a baseline 25-OH vitamin D level and a correction dose from the treating team or primary care - inexpensive and low-risk to check."
"mushroom-beta-glucan","Medicinal-mushroom beta-glucan / AHCC extract","immune-nk-support","anytime","false","true","1","Mechanistic + NK-cell-activation data and RCTs in other cancers; no glioblastoma-specific clinical trial data.","false","Beta-glucans (Trametes versicolor/PSK, AHCC, Ganoderma, etc.) engage Dectin-1 and other innate-immune receptors, activating macrophages, dendritic cells, and NK cells.","","","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6700253/ ; https://onlinelibrary.wiley.com/doi/10.1155/2019/3758576","Generally well tolerated, but confirm no interaction with the specific chemotherapy/immunotherapy regimen and mention it to the pharmacy team."
"selenium-zinc","Correct selenium / zinc deficiency (immune micronutrients)","immune-nk-support","anytime","false","true","1","Both are required cofactors for normal immune-cell function; evidence supports correcting deficiency rather than high-dose supplementation in non-deficient patients.","false","Selenium and zinc are cofactors for antioxidant enzymes and normal lymphocyte/NK-cell function - relevant given chemo/radiation-driven immune suppression.","","","","Ask for baseline levels; over-supplementation without a documented deficiency has its own risks (e.g. zinc excess impairing copper status, selenium toxicity at high doses)."
"omega-3-epa-dha","Omega-3 fatty acids (EPA/DHA, fish oil)","immune-nk-support","anytime","false","true","1","Preclinical: EPA/DHA enhance temozolomide's cytotoxic effect in glioblastoma cell models; broad anti-inflammatory mechanism; no glioblastoma-specific clinical trial yet.","false","EPA/DHA reduce pro-inflammatory signaling (TNF-alpha, PGE2) and increase reactive-oxygen-species-driven cell death when combined with temozolomide in cell models.","","","https://pmc.ncbi.nlm.nih.gov/articles/PMC12469626/","High-dose fish oil has a mild anticoagulant effect - flag it before any surgical procedure or if on other blood thinners."
"lymphocyte-monitoring","Scheduled CBC + lymphocyte-count monitoring through chemoradiation","marrow-recovery","concurrent-chemort","false","true","3","Treatment-related lymphopenia is well documented in ~40% of newly diagnosed glioblastoma patients and is independently associated with worse survival.","false","Radiotherapy irradiates circulating lymphocytes and cumulative dexamethasone dose worsens lymphopenia; tracking the nadir lets the team adjust steroid dosing before immunotherapy starts.","steroid-sparing:synergistic:2","","https://pmc.ncbi.nlm.nih.gov/articles/PMC7595853/ ; https://link.springer.com/article/10.1007/s11060-019-03146-7","Ask the radiation oncology team whether lymphocyte-sparing planning techniques are being used, and request the CD4 count specifically before Duke trial screening."
"nutritional-protein-support","Adequate calorie/protein intake support (dietitian-guided)","marrow-recovery","anytime","false","true","2","General oncology nutrition evidence: adequate protein intake supports hematopoietic and immune recovery after myelosuppressive treatment.","false","Marrow and lymphocyte recovery after chemotherapy/radiation is protein- and calorie-dependent; treatment-related appetite loss and steroid use both raise under-nutrition risk.","","","","Ask for a referral to an oncology dietitian, especially once dexamethasone or temozolomide affects appetite."
"growth-factor-support","Growth-factor support for treatment-related cytopenias (if needed)","marrow-recovery","adjuvant-tmz","false","false","3","Standard supportive-care practice for chemotherapy-induced cytopenias when clinically indicated.","false","Prescription growth factors can be used if bloodwork during adjuvant cycles shows clinically significant cytopenia, supporting recovery between cycles.","","","","A physician-directed decision made from bloodwork, not something to pre-decide - included so it isn't forgotten as a live option."
"care-onc-metformin","Metformin (repurposed, Care Oncology Protocol)","repurposed-investigational","adjuvant-tmz","false","true","2","Retrospective real-world cohort (METRICS) reported a survival association when added to standard of care; not randomised, and single-source reporting raises reporting/survivorship-bias concerns.","false","AMPK activation and mTOR-pathway inhibition are proposed to target glioblastoma's metabolic vulnerabilities and improve chemosensitivity.","care-onc-atorvastatin:synergistic:1","","https://pmc.ncbi.nlm.nih.gov/articles/PMC6610246/ ; https://clinicaltrials.gov/study/NCT02201381","Requires a prescription and periodic renal-function monitoring; not self-initiated. Ask whether the team is willing to prescribe the full four-drug protocol or just individual components."
"care-onc-atorvastatin","Atorvastatin (repurposed, Care Oncology Protocol)","repurposed-investigational","adjuvant-tmz","false","true","2","Same retrospective METRICS cohort signal as the rest of the four-drug cluster; not independently isolated.","false","Statins have proposed anti-glioma effects via disrupting cancer-cell membrane cholesterol and signaling.","","","https://pmc.ncbi.nlm.nih.gov/articles/PMC6610246/","Check for interaction with any other lipid-affecting medication and baseline liver enzymes (also monitored for TMZ and mebendazole)."
